,revid_A,revid_B,distCol
0,1021727076,1028003975,0.5
1,932493922,1031203902,0.5
2,933697724,1030210119,0.5
3,986349135,1026210303,0.0
4,988509148,990711368,0.0
5,1026124433,1031211876,0.5
6,1012808131,1026116621,0.5
7,1013336910,1015289346,0.5
8,1014999752,1015289346,0.5
9,1028006997,1030228934,0.6666666666666667
10,414518744,1013336910,0.5
11,415260959,969358269,0.0
12,676931058,1021731680,0.0
13,676931058,1015608105,0.5
14,676931171,961538323,0.0
15,676931257,930572575,0.0
16,676931257,1026566001,0.0
17,1021653584,1031559617,0.5
18,1021727076,1031559617,0.5
19,1021727734,1031490826,0.5
20,1021727734,1026123293,0.0
21,925217532,944256723,0.0
22,926152545,1001971697,0.0
23,926152545,1030210317,0.5
24,933659723,1030210317,0.5
25,933697724,1026068418,0.0
26,961543112,988509148,0.0
27,961543112,1026472216,0.0
28,988638385,1026566001,0.0
29,988638385,1013336910,0.5
30,988638385,1028006997,0.5
31,1026068418,1028311199,0.5
32,1026208660,1030228934,0.5
33,1027266569,1030228934,0.5
34,1027266569,1031204106,0.5
35,414518744,1026118966,0.0
36,428224858,1018870665,0.0
37,428224858,961543112,0.0
38,519825986,1026123293,0.0
39,676930901,990711368,0.0
40,676931257,1019581536,0.5
41,920700118,1026124433,0.0
42,920700118,1012808131,0.5
43,920701603,1030228934,0.5
44,944256723,1026211301,0.0
45,947941918,1021731680,0.0
46,964741318,1028004109,0.5
47,1017053352,1028311199,0.5
48,1015289679,1031490826,0.5
49,1015289679,1028004109,0.5
50,1020704764,1026210303,0.0
51,1021734055,1030228934,0.5
52,1021754882,1030228934,0.5
53,1021754882,1031490826,0.5
54,930572575,1021727734,0.0
55,932493922,1014614356,0.5
56,934729034,1026208660,0.0
57,969358269,1028311245,0.5
58,1026118966,1028004109,0.5
59,1026123293,1030949136,0.5
60,1026229786,1031490826,0.5
61,1026470342,1030259444,0.5
62,1026470342,1031313151,0.5
63,1014614356,1031203902,0.6666666666666667
64,1019581536,1030196265,0.6666666666666667
65,1019581536,1031203902,0.6666666666666667
66,1028003975,1030948996,0.6666666666666667
67,1028004221,1030228934,0.6666666666666667
68,1030841680,1031211876,0.6666666666666667
69,428224858,1030259444,0.5
70,676930972,1031490826,0.5
71,947941918,1031203808,0.5
72,947941918,1015619258,0.5
73,951353093,1031203902,0.5
74,1015289679,1028003996,0.5
75,1021653584,1026066166,0.0
76,1021727076,1028311199,0.5
77,934729034,1021188377,0.0
78,960206221,1026211301,0.0
79,961538323,1026066166,0.0
80,1001971697,1026470342,0.0
81,1026208660,1026472216,0.0
82,1026566001,1027266569,0.0
83,1014999752,1030259444,0.6666666666666667
84,1015619258,1030259444,0.6666666666666667
85,414518744,1015619258,0.5
86,415260959,1026211301,0.0
87,676930972,1021732883,0.0
88,676930972,934729034,0.0
89,676931058,933697724,0.0
90,676931171,1021732883,0.0
91,676931171,1028311245,0.5
92,676931257,960206221,0.0
93,951353093,1030228934,0.5
94,1012808131,1031313151,0.0
